seed	condition_id	coverage	error_model	method	family_id	period	unit_substitution_rate	truth_copies	estimated_copy_number	signed_relative_error	absolute_relative_error	sampling_oracle_copy_estimate	estimator_minus_sampling_oracle	interval_low	interval_high	interval_contains_truth	interval_relative_width	normalization_method	kmer_survival_probability	control_mean_depth	control_zero_fraction
6301	condition_001	1	error_free	baseline_total_bases	f035	171	0	200.0	265.81	0.32905	0.32905	266.62812766463776	-0.0040906383231887845	264.8107	266.8093	False	0.009993000000000052	total_read_bases_divided_by_genome_size	1.00000000	NA	NA
6301	condition_001	1	error_free	baseline_total_bases	f036	171	0.02	200.0	116.9164	-0.415418	0.415418	184.9847319779097	-0.34034165988954845	106.9236	128.9079	False	0.10992150000000009	total_read_bases_divided_by_genome_size	1.00000000	NA	NA
6301	condition_001	1	error_free	baseline_total_bases	f037	421	0	20.0	37.9729	0.8986450000000001	0.8986450000000001	37.58596015900376	0.01934699204981207	36.9736	37.9729	False	0.04996500000000026	total_read_bases_divided_by_genome_size	1.00000000	NA	NA
6301	condition_001	1	error_free	baseline_total_bases	f038	421	0.02	20.0	33.9757	0.6987850000000002	0.6987850000000002	47.94197810492946	-0.6983139052464729	28.9793	39.9714	False	0.5496050000000002	total_read_bases_divided_by_genome_size	1.00000000	NA	NA
6301	condition_001	1	error_free	baseline_total_bases	f039	421	0	20.0	0.0	-1.0	1.0	0.0	0.0	0.0	0.0	False	0.0	total_read_bases_divided_by_genome_size	1.00000000	NA	NA
6301	condition_001	1	error_free	baseline_total_bases	f040	421	0.02	20.0	3.9971	-0.800145	0.800145	6.755266347491299	-0.13790831737456494	2.9979	5.9957	False	0.14989000000000002	total_read_bases_divided_by_genome_size	1.00000000	NA	NA
6301	condition_001	1	error_free	baseline_total_bases	f041	421	0	20.0	19.9857	-0.0007149999999999324	0.0007149999999999324	20.693047089750223	-0.03536735448751109	19.9857	21.9843	True	0.09992999999999999	total_read_bases_divided_by_genome_size	1.00000000	NA	NA
6301	condition_001	1	error_free	baseline_total_bases	f042	421	0.02	20.0	17.9871	-0.10064499999999992	0.10064499999999992	29.159679226609487	-0.5586289613304742	13.99	21.9843	True	0.39971500000000004	total_read_bases_divided_by_genome_size	1.00000000	NA	NA
6301	condition_001	1	error_free	baseline_total_bases	f043	421	0	80.0	22.9836	-0.712705	0.712705	22.603795301180476	0.00474755873524404	21.9843	22.9836	False	0.012491249999999976	total_read_bases_divided_by_genome_size	1.00000000	NA	NA
6301	condition_001	1	error_free	baseline_total_bases	f044	421	0.02	80.0	61.9557	-0.22555375	0.22555375	90.04252596348644	-0.3510853245435805	52.9621	70.9493	False	0.22483999999999993	total_read_bases_divided_by_genome_size	1.00000000	NA	NA
6301	condition_001	1	error_free	baseline_total_bases	f045	421	0	80.0	62.955	-0.21306250000000002	0.21306250000000002	62.817330950933666	0.0017208631133291518	61.9557	63.9543	False	0.02498250000000004	total_read_bases_divided_by_genome_size	1.00000000	NA	NA
